agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,decision_horizon,decision_duration,settlement_duration,total_duration,settlement_complete,late_filled_qty,late_fees,settlement_pending_order_ids,phase,cell,episode_reward
twap,TWAP,47000,twap,3.651097799154463,3.651097799154463,1.0,60.0,20,99.98448697433948,100.01100352112677,60.61682595573942,83.4732796780734,22.85645372233398,0.9997348637064541,2.6513629354480095,3.651097799154463,0.0,0.0,0.0,3.651097799154463,0,0,0,VALID,[],"{'cash': 228541.68076961793, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -60.61682595573251, 'unrealized_pnl': 0.0, 'total_fees': 22.85645372233398, 'realized_pnl': -83.47327967806649, 'equity': 228541.68076961793, 'total_pnl': -83.47327967806649}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,
random,Random,47000,random,2.5311084381585327,2.5311084381585327,1.0,42.0,15,99.99120515965434,100.01100352112677,45.25905432594872,57.8675056589467,12.608451332997983,0.5514901186366995,1.9796183195218333,2.5311084381585327,0.0,0.0,0.0,2.5311084381585327,0,0,0,VALID,[],"{'cash': 228567.2865436368, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -45.259054325956896, 'unrealized_pnl': 0.0, 'total_fees': 12.608451332997983, 'realized_pnl': -57.86750565895488, 'equity': 228567.2865436368, 'total_pnl': -57.86750565895488}",60.0,42.0,0.0,42.0,True,0,0.0,[],diagnostic,0,-2.53110843815884
all_wait,all_wait capacity control,47000,fixed_action_zero,0.0,4.266538582776397,0.0,60.0,0,100.01100352112677,100.01100352112677,0.0,0.0,0.0,0.0,3.266865269303326,4.266538582776397,74.68875754527672,22.85504652917505,0.0,4.266538582776397,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.01100352112677, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -50.30809859154701, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228574.84595070424, 'total_pnl': -50.30809859154701}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,-4.266538582776396
all_market,all_market capacity control,47000,fixed_action_four,3.935306043065778,3.935306043065778,1.0,22.0,11,99.98164429490328,100.01100352112677,67.1151911468889,89.97099503270381,22.855803885814908,0.9997064400396981,2.93559960302608,3.935306043065778,0.0,0.0,0.0,3.935306043065778,0,0,0,VALID,[],"{'cash': 228535.1830542633, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -67.11519114687863, 'unrealized_pnl': 0.0, 'total_fees': 22.855803885814908, 'realized_pnl': -89.97099503269354, 'equity': 228535.1830542633, 'total_pnl': -89.97099503269354}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,0,-3.9353060430654443
twap,TWAP,47001,twap,2.2068716207286747,2.2068716207286747,1.0,60.0,20,99.9832148512246,99.9952842052314,27.590543259544535,50.446706174534484,22.85616291498995,0.9998793007680042,1.2069923199606705,2.2068716207286747,0.0,0.0,0.0,2.2068716207286747,0,0,0,VALID,[],"{'cash': 228538.77298698452, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -27.59054325956579, 'unrealized_pnl': 0.0, 'total_fees': 22.85616291498995, 'realized_pnl': -50.44670617455574, 'equity': 228538.77298698452, 'total_pnl': -50.44670617455574}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,
random,Random,47001,random,1.849286736443262,1.849286736443262,1.0,40.0,15,99.9808026307451,99.9952842052314,33.10487927565784,42.27270120724738,9.167821931589542,0.40106099246043786,1.448225743982824,1.849286736443262,0.0,0.0,0.0,1.849286736443262,0,0,0,VALID,[],"{'cash': 228546.94699195193, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -33.10487927566402, 'unrealized_pnl': 0.0, 'total_fees': 9.167821931589542, 'realized_pnl': -42.27270120725356, 'equity': 228546.94699195193, 'total_pnl': -42.27270120725356}",60.0,40.0,0.0,40.0,True,0,0.0,[],diagnostic,0,-1.849286736443091
all_wait,all_wait capacity control,47001,fixed_action_zero,0.0,1.4766427800191952,0.0,60.0,0,99.9952842052314,99.9952842052314,0.0,0.0,0.0,0.0,0.47669044906410174,1.4766427800191952,10.896629778674457,22.85783230633803,0.0,1.4766427800191952,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.9952842052314, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 14.373742454704512, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228603.59343561367, 'total_pnl': 14.373742454704512}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,-1.4766427800191955
all_market,all_market capacity control,47001,fixed_action_four,3.3449834636134326,3.3449834636134326,1.0,22.0,11,99.97183313133395,99.9952842052314,53.60915492956855,76.46271598339149,22.853561053822947,0.999765478201459,2.345217985411974,3.3449834636134326,0.0,0.0,0.0,3.3449834636134326,0,0,0,VALID,[],"{'cash': 228512.75697717565, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -53.60915492958695, 'unrealized_pnl': 0.0, 'total_fees': 22.853561053822947, 'realized_pnl': -76.4627159834099, 'equity': 228512.75697717565, 'total_pnl': -76.4627159834099}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,0,-3.344983463613824
twap,TWAP,47002,twap,-0.12165538219163388,-0.12165538219163388,1.0,60.0,20,99.9656265458015,99.95441398390342,-25.631916499000393,-2.7797742706301563,22.852142228370237,1.0001121767558956,-1.1217675589475293,-0.12165538219163388,0.0,0.0,0.0,-0.12165538219163388,0,0,0,VALID,[],"{'cash': 228498.5701414739, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 25.631916499011453, 'unrealized_pnl': 0.0, 'total_fees': 22.852142228370237, 'realized_pnl': 2.779774270641216, 'equity': 228498.5701414739, 'total_pnl': 2.779774270641216}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,
random,Random,47002,random,-0.816348874031583,-0.816348874031583,1.0,48.0,17,99.9650049245605,99.95441398390342,-24.210890342062335,-18.653228118722296,5.5576622233400395,0.24322821065581215,-1.059577084687395,-0.816348874031583,0.0,0.0,0.0,-0.816348874031583,0,0,0,VALID,[],"{'cash': 228514.44359532185, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 24.210890342069078, 'unrealized_pnl': 0.0, 'total_fees': 5.5576622233400395, 'realized_pnl': 18.65322811872904, 'equity': 228514.44359532185, 'total_pnl': 18.65322811872904}",60.0,48.0,0.0,48.0,True,0,0.0,[],diagnostic,0,0.8163488740311442
