agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,decision_horizon,decision_duration,settlement_duration,total_duration,settlement_complete,late_filled_qty,late_fees,settlement_pending_order_ids,cell,phase,episode_reward
twap,TWAP,44000,twap,3.079361057371818,3.079361057371818,1.0,29.0,20,99.9713462863797,99.99214034205232,47.5352112676079,70.38866102867429,22.853449761066397,0.9997920430985725,2.0795690142732455,3.079361057371818,0.0,0.0,0.0,3.079361057371818,0,0,0,VALID,[],"{'cash': 228511.6441609031, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -47.53521126761501, 'unrealized_pnl': 0.0, 'total_fees': 22.853449761066397, 'realized_pnl': -70.38866102868141, 'equity': 228511.6441609031, 'total_pnl': -70.38866102868141}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44000,random,2.795871293548443,2.795871293548443,1.0,24.5,40,99.97070403611521,99.99214034205232,49.00339537223942,63.90859437877866,14.905199006539245,0.6520722045617028,2.1437990889867407,2.795871293548443,0.0,0.0,0.0,2.795871293548443,0,0,0,VALID,[],"{'cash': 228518.124227553, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -49.00339537224235, 'unrealized_pnl': 0.0, 'total_fees': 14.905199006539245, 'realized_pnl': -63.9085943787816, 'equity': 228518.124227553, 'total_pnl': -63.9085943787816}",30.0,24.5,0.0,24.5,True,0,0.0,[],0,diagnostic,-2.7958712935481795
all_wait,all_wait capacity control,44000,fixed_action_zero,0.0,1.5139267375267496,0.0,30.0,0,99.99214034205232,99.99214034205232,0.0,0.0,0.0,0.0,0.5139781353402837,1.5139267375267496,11.748616700210793,22.85702842052314,0.0,1.5139267375267496,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.99214034205232, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 35.93435613681001, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228617.96717806841, 'total_pnl': 35.93435613681001}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-1.5139267375267496
all_market,all_market capacity control,44000,fixed_action_four,3.0519938053595124,3.0519938053595124,1.0,10.5,21,99.97161996475793,99.99214034205232,46.909582494958336,69.763094818902,22.853512323943665,0.9997947800974737,2.0521990252620386,3.0519938053595124,0.0,0.0,0.0,3.0519938053595124,0,0,0,VALID,[],"{'cash': 228512.26972711278, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -46.90958249497854, 'unrealized_pnl': 0.0, 'total_fees': 22.853512323943665, 'realized_pnl': -69.7630948189222, 'equity': 228512.26972711278, 'total_pnl': -69.7630948189222}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-3.0519938053600146
twap,TWAP,44001,twap,2.368142965219837,2.368142965219837,1.0,29.0,20,100.01460809916367,100.02829476861167,31.287726358141782,54.1510657696106,22.863339411468818,0.9998631720206802,1.368279793199157,2.368142965219837,0.0,0.0,0.0,2.368142965219837,0,0,0,VALID,[],"{'cash': 228610.5307752766, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -31.28772635814242, 'unrealized_pnl': 0.0, 'total_fees': 22.863339411468818, 'realized_pnl': -54.151065769611236, 'equity': 228610.5307752766, 'total_pnl': -54.151065769611236}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44001,random,2.4922144164830384,2.4922144164830384,1.0,18.0,31,100.01063219870404,100.02829476861167,40.37663480885456,56.98814166247628,16.611506853621716,0.726457042682657,1.7657573738003813,2.4922144164830384,0.0,0.0,0.0,2.4922144164830384,0,0,0,VALID,[],"{'cash': 228607.6936993836, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -40.37663480884535, 'unrealized_pnl': 0.0, 'total_fees': 16.611506853621716, 'realized_pnl': -56.98814166246707, 'equity': 228607.6936993836, 'total_pnl': -56.98814166246707}",30.0,18.0,0.0,18.0,True,0,0.0,[],0,diagnostic,-2.492214416482976
all_wait,all_wait capacity control,44001,fixed_action_zero,0.0,2.970279840989964,0.0,30.0,0,100.02829476861167,100.02829476861167,0.0,0.0,0.0,0.0,1.9704768886788322,2.970279840989964,45.057847082487996,22.86196239939638,0.0,2.970279840989964,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.02829476861167, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -17.967178068388762, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228646.7146629779, 'total_pnl': -17.967178068388762}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-2.9702798409899644
all_market,all_market capacity control,44001,fixed_action_four,2.0049362013422147,2.0049362013422147,1.0,10.5,21,100.01824155783345,100.02829476861167,22.981639839030617,45.845809859151345,22.864170020120728,0.9998994963294988,1.005036705012716,2.0049362013422147,0.0,0.0,0.0,2.0049362013422147,0,0,0,VALID,[],"{'cash': 228618.83603118718, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -22.981639839025263, 'unrealized_pnl': 0.0, 'total_fees': 22.864170020120728, 'realized_pnl': -45.84580985914599, 'equity': 228618.83603118718, 'total_pnl': -45.84580985914599}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.0049362013423715
twap,TWAP,44002,twap,3.55252345685304,3.55252345685304,1.0,29.0,20,99.96347150048146,99.98899647887325,58.350100603634615,81.2017501886447,22.85164958501008,0.9997447221265281,2.552778734726512,3.55252345685304,0.0,0.0,0.0,3.55252345685304,0,0,0,VALID,[],"{'cash': 228493.64420051567, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -58.35010060362275, 'unrealized_pnl': 0.0, 'total_fees': 22.85164958501008, 'realized_pnl': -81.20175018863283, 'equity': 228493.64420051567, 'total_pnl': -81.20175018863283}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44002,random,2.8022622543597104,2.8022622543597104,1.0,28.0,40,99.96691104633048,99.98899647887325,50.487298792768755,64.0526663103744,13.565367517605644,0.5934759558158569,2.2087862985438536,2.8022622543597104,0.0,0.0,0.0,2.8022622543597104,0,0,0,VALID,[],"{'cash': 228510.7932843937, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -50.48729879275854, 'unrealized_pnl': 0.0, 'total_fees': 13.565367517605644, 'realized_pnl': -64.05266631036417, 'equity': 228510.7932843937, 'total_pnl': -64.05266631036417}",30.0,28.0,0.0,28.0,True,0,0.0,[],0,diagnostic,-2.802262254359176
