arm,imputed_rows_in_arm,status,n,agent,reference,delta_mean_bps,ci_low_bps,ci_high_bps,sd_paired_bps,p_sign,delta_definition,scenario,p_adjusted,family_size,correction,planned_pairs,reason
raw,0,AVAILABLE,10.0,vwap,twap,-0.03666175850179469,-0.08199326714526857,-0.0009987433940146302,0.07025621938883898,0.5078125,agent minus reference,reference,1.0,24,holm,,
raw,0,AVAILABLE,10.0,pov,twap,-0.0001641168612953603,-0.07583062096893639,0.07483922339400116,0.12039959621586376,0.5078125,agent minus reference,reference,1.0,24,holm,,
raw,0,AVAILABLE,10.0,ac,twap,-0.000833308336238181,-0.0016665837591010705,-0.00016665833291427124,0.0011785178600638054,0.0703125,agent minus reference,reference,1.0,24,holm,,
raw,0,AVAILABLE,10.0,heuristic,twap,-0.18399536690863874,-0.42017017955845193,0.04100622240955243,0.37689149650509984,0.75390625,agent minus reference,reference,1.0,24,holm,,
raw,0,AVAILABLE,10.0,vwap,twap,-0.1901557518396177,-0.8092336594890593,0.35712892320893436,1.0021012540793348,0.75390625,agent minus reference,thin_depth,1.0,24,holm,,
raw,0,AVAILABLE,10.0,pov,twap,0.39041249341496603,-0.04264853601015968,0.8268922014145832,0.739905685424457,0.34375,agent minus reference,thin_depth,1.0,24,holm,,
raw,0,AVAILABLE,10.0,ac,twap,-0.002832633828869813,-0.005664069875056447,1.186942027769808e-07,0.004716300704057756,0.5078125,agent minus reference,thin_depth,1.0,24,holm,,
raw,0,AVAILABLE,10.0,heuristic,twap,-1.5058403649561896,-2.3554021664669507,-0.7165094254172464,1.3047495305853944,0.021484375,agent minus reference,thin_depth,0.515625,24,holm,,
raw,0,AVAILABLE,10.0,vwap,twap,0.17277323667457772,-0.2408937417558148,0.6197528688959262,0.7521903068566478,0.75390625,agent minus reference,aggressive_flow,1.0,24,holm,,
raw,0,AVAILABLE,10.0,pov,twap,0.47828962546810344,-0.6242346718672267,1.7135073209923701,1.9455775984762744,1.0,agent minus reference,aggressive_flow,1.0,24,holm,,
raw,0,AVAILABLE,10.0,ac,twap,-0.00033403332004881825,-0.0035005518243291234,0.002999118189406668,0.005544181017984245,1.0,agent minus reference,aggressive_flow,1.0,24,holm,,
raw,0,AVAILABLE,10.0,heuristic,twap,-1.7629393216182412,-2.9426813791598465,-0.47546905710109494,2.041295337076453,0.109375,agent minus reference,aggressive_flow,1.0,24,holm,,
raw,0,AVAILABLE,10.0,vwap,twap,0.016999483453495355,-0.023162931389358942,0.06215945462595465,0.07062193468795377,0.5078125,agent minus reference,slow_messages,1.0,24,holm,,
raw,0,AVAILABLE,10.0,pov,twap,0.10082259990327813,-0.040006941790716254,0.27882187163837696,0.2662046460585692,0.75390625,agent minus reference,slow_messages,1.0,24,holm,,
raw,0,AVAILABLE,10.0,ac,twap,-0.0003333583354121927,-0.0011667666749845002,0.0004999499999926771,0.0015315045600986653,1.0,agent minus reference,slow_messages,1.0,24,holm,,
raw,0,AVAILABLE,10.0,heuristic,twap,-0.24250441697813133,-0.4316858487962855,-0.04684435999659145,0.3257542910292488,0.75390625,agent minus reference,slow_messages,1.0,24,holm,,
raw,0,WITHHELD_FOR_THIS_COMPARISON,,vwap,twap,,,,,,,combined,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,pov,twap,,,,,,,combined,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,ac,twap,,,,,,,combined,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,heuristic,twap,,,,,,,combined,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,vwap,twap,,,,,,,liquidity_exhaustion,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,pov,twap,,,,,,,liquidity_exhaustion,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,ac,twap,,,,,,,liquidity_exhaustion,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
raw,0,WITHHELD_FOR_THIS_COMPARISON,,heuristic,twap,,,,,,,liquidity_exhaustion,1.0,24,holm,10.0,Missing/nonfinite/INVALID raw economic outcome
residual_stress_proxy_100bps,93,AVAILABLE,10.0,vwap,twap,-0.03666175850179469,-0.08199326714526857,-0.0009987433940146302,0.07025621938883898,0.5078125,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,pov,twap,-0.0001641168612953603,-0.07583062096893639,0.07483922339400116,0.12039959621586376,0.5078125,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,ac,twap,-0.000833308336238181,-0.0016665837591010705,-0.00016665833291427124,0.0011785178600638054,0.0703125,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,heuristic,twap,-0.18399536690863874,-0.42017017955845193,0.04100622240955243,0.37689149650509984,0.75390625,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,vwap,twap,-0.1901557518396177,-0.8092336594890593,0.35712892320893436,1.0021012540793348,0.75390625,agent minus reference,thin_depth,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,pov,twap,0.39041249341496603,-0.04264853601015968,0.8268922014145832,0.739905685424457,0.34375,agent minus reference,thin_depth,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,ac,twap,-0.002832633828869813,-0.005664069875056447,1.186942027769808e-07,0.004716300704057756,0.5078125,agent minus reference,thin_depth,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,heuristic,twap,-1.5058403649561896,-2.3554021664669507,-0.7165094254172464,1.3047495305853944,0.021484375,agent minus reference,thin_depth,0.494140625,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,vwap,twap,0.17277323667457772,-0.2408937417558148,0.6197528688959262,0.7521903068566478,0.75390625,agent minus reference,aggressive_flow,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,pov,twap,0.47828962546810344,-0.6242346718672267,1.7135073209923701,1.9455775984762744,1.0,agent minus reference,aggressive_flow,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,ac,twap,-0.00033403332004881825,-0.0035005518243291234,0.002999118189406668,0.005544181017984245,1.0,agent minus reference,aggressive_flow,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,heuristic,twap,-1.7629393216182412,-2.9426813791598465,-0.47546905710109494,2.041295337076453,0.109375,agent minus reference,aggressive_flow,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,vwap,twap,0.016999483453495355,-0.023162931389358942,0.06215945462595465,0.07062193468795377,0.5078125,agent minus reference,slow_messages,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,pov,twap,0.10082259990327813,-0.040006941790716254,0.27882187163837696,0.2662046460585692,0.75390625,agent minus reference,slow_messages,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,ac,twap,-0.0003333583354121927,-0.0011667666749845002,0.0004999499999926771,0.0015315045600986653,1.0,agent minus reference,slow_messages,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,heuristic,twap,-0.24250441697813133,-0.4316858487962855,-0.04684435999659145,0.3257542910292488,0.75390625,agent minus reference,slow_messages,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,vwap,twap,-1.6392486226772172,-2.6785455760688763,-0.7710078012751468,1.6273303371326013,0.021484375,agent minus reference,combined,0.494140625,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,pov,twap,-12.64061963497804,-23.33086017829529,-1.6550958163874911,18.64385968150106,0.109375,agent minus reference,combined,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,ac,twap,-1.227003131518275,-3.47618439590368,-0.058656197523209566,3.5225691078328216,0.015625,agent minus reference,combined,0.375,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,heuristic,twap,-12.64976543793006,-24.665684091506915,-0.70427529528437,20.199476807645983,0.34375,agent minus reference,combined,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,vwap,twap,0.0,0.0,0.0,0.0,1.0,agent minus reference,liquidity_exhaustion,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,pov,twap,0.0,0.0,0.0,0.0,1.0,agent minus reference,liquidity_exhaustion,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,ac,twap,0.0,0.0,0.0,0.0,1.0,agent minus reference,liquidity_exhaustion,1.0,24,holm,,
residual_stress_proxy_100bps,93,AVAILABLE,10.0,heuristic,twap,0.0,0.0,0.0,0.0,1.0,agent minus reference,liquidity_exhaustion,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,vwap,twap,-0.03666175850179469,-0.08199326714526857,-0.0009987433940146302,0.07025621938883898,0.5078125,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,pov,twap,-0.0001641168612953603,-0.07583062096893639,0.07483922339400116,0.12039959621586376,0.5078125,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,ac,twap,-0.000833308336238181,-0.0016665837591010705,-0.00016665833291427124,0.0011785178600638054,0.0703125,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,heuristic,twap,-0.18399536690863874,-0.42017017955845193,0.04100622240955243,0.37689149650509984,0.75390625,agent minus reference,reference,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,vwap,twap,-0.1901557518396177,-0.8092336594890593,0.35712892320893436,1.0021012540793348,0.75390625,agent minus reference,thin_depth,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,pov,twap,0.39041249341496603,-0.04264853601015968,0.8268922014145832,0.739905685424457,0.34375,agent minus reference,thin_depth,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,ac,twap,-0.002832633828869813,-0.005664069875056447,1.186942027769808e-07,0.004716300704057756,0.5078125,agent minus reference,thin_depth,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,heuristic,twap,-1.5058403649561896,-2.3554021664669507,-0.7165094254172464,1.3047495305853944,0.021484375,agent minus reference,thin_depth,0.494140625,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,vwap,twap,0.17277323667457772,-0.2408937417558148,0.6197528688959262,0.7521903068566478,0.75390625,agent minus reference,aggressive_flow,1.0,24,holm,,
residual_stress_proxy_500bps,93,AVAILABLE,10.0,pov,twap,0.47828962546810344,-0.6242346718672267,1.7135073209923701,1.9455775984762744,1.0,agent minus reference,aggressive_flow,1.0,24,holm,,
