agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,scenario,episode_reward
twap,TWAP,101,twap,1.9779510975540338,1.9779510975540338,1.0,10.0,20,99.98522000000001,99.995,19.55999999998312,39.55704399998312,19.997044000000002,0.9999021951097555,0.9780489024442782,1.9779510975540338,0.0,0.0,0.0,1.9779510975540338,0,0,0,VALID,[],"{'cash': 199950.44295599998, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -19.559999999995796, 'unrealized_pnl': 0.0, 'total_fees': 19.997044000000002, 'realized_pnl': -39.5570439999958, 'equity': 199950.44295599998, 'total_pnl': -39.5570439999958}",baseline_foundation_study,
vwap,VWAP,101,vwap,2.0269486474324157,2.0269486474324157,1.0,10.0,20,99.98473,99.995,20.540000000000873,40.53694600000088,19.99694600000001,0.9998972948647437,1.0270513525676719,2.0269486474324157,0.0,0.0,0.0,2.0269486474324157,0,0,0,VALID,[],"{'cash': 199949.46305399996, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -20.539999999996297, 'unrealized_pnl': 0.0, 'total_fees': 19.99694600000001, 'realized_pnl': -40.536945999996306, 'equity': 199949.46305399996, 'total_pnl': -40.536945999996306}",baseline_foundation_study,
pov,POV,101,pov,2.121943897194248,2.121943897194248,1.0,10.0,19,99.98378000000001,99.995,22.439999999987776,42.436755999987774,19.996755999999998,0.9998877943897193,1.122056102804529,2.121943897194248,0.0,0.0,0.0,2.121943897194248,0,0,0,VALID,[],"{'cash': 199947.56324399996, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -22.43999999999727, 'unrealized_pnl': 0.0, 'total_fees': 19.996755999999998, 'realized_pnl': -42.43675599999727, 'equity': 199947.56324399996, 'total_pnl': -42.43675599999727}",baseline_foundation_study,
ac,Almgren-Chriss,101,ac,1.9664516725840804,1.9664516725840804,1.0,10.0,20,99.98533499999999,99.995,19.330000000009022,39.32706700000902,19.997067,0.9999033451672584,0.966548327416822,1.9664516725840804,0.0,0.0,0.0,1.9664516725840804,0,0,0,VALID,[],"{'cash': 199950.67293299994, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -19.329999999995678, 'unrealized_pnl': 0.0, 'total_fees': 19.997067, 'realized_pnl': -39.32706699999568, 'equity': 199950.67293299994, 'total_pnl': -39.32706699999568}",baseline_foundation_study,
heuristic,Heuristic,101,heuristic,1.9555064419884913,2.109943297164611,0.9,10.0,20,99.98531111111112,99.995,17.439999999995052,35.197355999995054,17.757356,0.8879121956097805,1.1220561028048928,2.109943297164611,5.0,1.9994,2.5,4.609943297164611,0,200,200,WARNING,[],"{'cash': 179955.802644, 'inventory': 200, 'average_cost': 99.995, 'gross_realized_pnl': -17.439999999996473, 'unrealized_pnl': -3.999999999999204, 'total_fees': 17.757356, 'realized_pnl': -35.197355999996475, 'equity': 199950.802644, 'total_pnl': -39.19735599999568}",baseline_foundation_study,-4.6099432971648575
random,Random,101,random,2.2819536072180227,2.382432121606885,0.9175,10.0,12,99.98204359673024,99.995,23.7750000000161,41.871755000016094,18.096754999999998,0.9048829941497074,1.3950697534884793,2.382432121606885,4.125,1.649505,2.0625,4.444932121606885,0,165,65,WARNING,[],"{'cash': 183448.95324499998, 'inventory': 165, 'average_cost': 99.995, 'gross_realized_pnl': -23.774999999999125, 'unrealized_pnl': -3.2999999999993435, 'total_fees': 18.096754999999998, 'realized_pnl': -41.871754999999126, 'equity': 199944.82824499998, 'total_pnl': -45.17175499999847}",baseline_foundation_study,-4.44493212160608
twap,TWAP,102,twap,2.882717564121605,2.882717564121605,1.0,10.0,20,99.98617,100.005,37.65999999999622,57.65723399999622,19.99723400000001,0.9998117094145297,1.8829058547070754,2.882717564121605,0.0,0.0,0.0,2.882717564121605,0,0,0,VALID,[],"{'cash': 199952.342766, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -37.659999999983796, 'unrealized_pnl': 0.0, 'total_fees': 19.99723400000001, 'realized_pnl': -57.6572339999838, 'equity': 199952.342766, 'total_pnl': -57.6572339999838}",baseline_foundation_study,
vwap,VWAP,102,vwap,2.8182272386374714,2.8182272386374714,1.0,10.0,20,99.986815,100.005,36.36999999998807,56.36736299998807,19.997363,0.9998181590920454,1.8184090795454262,2.8182272386374714,0.0,0.0,0.0,2.8182272386374714,0,0,0,VALID,[],"{'cash': 199953.63263700006, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -36.36999999998214, 'unrealized_pnl': 0.0, 'total_fees': 19.997363, 'realized_pnl': -56.36736299998214, 'equity': 199953.63263700006, 'total_pnl': -56.36736299998214}",baseline_foundation_study,
pov,POV,102,pov,2.837724313784049,2.837724313784049,1.0,10.0,18,99.98662,100.005,36.75999999999476,56.75732399999476,19.997324,0.9998162091895405,1.8379081045945083,2.837724313784049,0.0,0.0,0.0,2.837724313784049,0,0,0,VALID,[],"{'cash': 199953.24267600002, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -36.759999999981304, 'unrealized_pnl': 0.0, 'total_fees': 19.997324, 'realized_pnl': -56.7573239999813, 'equity': 199953.24267600002, 'total_pnl': -56.7573239999813}",baseline_foundation_study,
ac,Almgren-Chriss,102,ac,2.800729863506301,2.800729863506301,1.0,10.0,20,99.98699,100.005,36.01999999998952,56.01739799998953,19.997398000000004,0.99981990900455,1.800909954501751,2.800729863506301,0.0,0.0,0.0,2.800729863506301,0,0,0,VALID,[],"{'cash': 199953.982602, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -36.019999999984606, 'unrealized_pnl': 0.0, 'total_fees': 19.997398000000004, 'realized_pnl': -56.01739799998461, 'equity': 199953.982602, 'total_pnl': -56.01739799998461}",baseline_foundation_study,
