scenario,agent,label,reference,n,delta_mean,delta_ci_lo,delta_ci_hi,delta_median,win_rate,wins,losses,p_sign,significant_5pct
calm,heuristic,Heuristic,ac,100,0.11608620570339517,-0.14341722849184946,0.40220585928215863,0.0841542077100661,0.47,47,53,0.617299413589252,False
calm,pov,POV,ac,100,0.31449020526382315,-0.007213011368329942,0.628517577170229,0.5087754387719021,0.38,38,62,0.020978735677851718,True
calm,random,Random,ac,100,0.6449915655817716,0.3226031558561434,0.9854529168531918,0.5594779738984368,0.37,37,63,0.012032975725363477,True
calm,twap,TWAP,ac,100,-0.009893216903215842,-0.31093835214422444,0.2792222271048304,0.04340217010897973,0.47,47,53,0.617299413589252,False
calm,vwap,VWAP,ac,100,-0.00901679869657618,-0.3617347712284835,0.3444509588929772,0.15125022287801637,0.48,48,52,0.7643534344026668,False
thin,heuristic,Heuristic,ac,100,-16.07171401622836,-18.817808174396383,-13.476459962236712,-15.031368431336244,0.88,88,12,1.9113575360277067e-15,True
thin,pov,POV,ac,100,-0.887534251113155,-4.415928451778586,2.677369081289324,0.4080158887757541,0.49,49,51,0.9204107626128213,False
thin,random,Random,ac,100,-12.4247398442749,-15.222813625071263,-9.726757122208472,-11.552262137355022,0.82,82,18,6.147806615047977e-11,True
thin,twap,TWAP,ac,100,-16.996653410671872,-20.002459754242643,-14.126952773799621,-15.652125534130557,0.85,85,15,4.825421503937196e-13,True
thin,vwap,VWAP,ac,100,-17.464452723333842,-20.435621795764966,-14.605490610939908,-16.109814200616995,0.87,87,13,1.3129815522035853e-14,True
volatile,heuristic,Heuristic,ac,100,-1.0387174649205912,-3.1920975782838217,0.616762465918507,0.7776134084137873,0.46,46,54,0.4841184136072915,False
volatile,pov,POV,ac,100,2.970057568398184,2.1421234224833117,3.7834035484475637,2.658326466855101,0.24,24,76,1.8100026213029256e-07,True
volatile,random,Random,ac,100,0.24151422113866924,-1.8307342975384726,1.867380583922978,0.9836959239816254,0.42,42,58,0.13321061920721333,False
volatile,twap,TWAP,ac,100,0.5700554806744332,-0.5570640578315518,1.6709813138010055,1.131892784715141,0.44,44,56,0.2712530240738347,False
volatile,vwap,VWAP,ac,100,-0.2914932467889166,-1.2830758222242213,0.6636502229861366,-0.3608863713674966,0.54,54,46,0.4841184136072915,False
high_latency,heuristic,Heuristic,ac,100,0.1801823132894503,-0.09772657725120358,0.4682978301303309,0.2754434796012819,0.45,45,55,0.36820161732669626,False
high_latency,pov,POV,ac,100,0.29097413006198386,-0.013978417335948928,0.6123859536384898,0.46912654367271633,0.42,42,58,0.13321061920721333,False
high_latency,random,Random,ac,100,0.5610220937258739,0.1469487305872883,0.9200366365715602,0.6729836491816779,0.33,33,67,0.0008737198369123723,True
high_latency,twap,TWAP,ac,100,0.48267878073143594,0.1848627283949753,0.7981992655486471,0.4758744035101281,0.37,37,63,0.012032975725363477,True
high_latency,vwap,VWAP,ac,100,0.10767852200677129,-0.20727252304239846,0.4234556781337017,0.17314134293338634,0.45,45,55,0.36820161732669626,False
stressed,heuristic,Heuristic,ac,100,-0.46569269628792304,-1.397941593036213,0.38564168940949356,-0.18860191792442071,0.53,53,47,0.617299413589252,False
stressed,pov,POV,ac,100,1.5717554539449912,0.7739519466358099,2.364433557016118,1.606183454531737,0.36,36,64,0.006637120515926126,True
stressed,random,Random,ac,100,-0.2912944534172714,-2.277318496386182,1.3152601824527517,0.9897494874744579,0.38,38,62,0.020978735677851718,True
stressed,twap,TWAP,ac,100,-0.3352975637368999,-1.0657326520412134,0.4290508300078292,-0.5813592974434525,0.54,54,46,0.4841184136072915,False
stressed,vwap,VWAP,ac,100,-0.4171938980552197,-1.2205558156803054,0.3156381643571846,-0.07809297082077027,0.51,51,49,0.9204107626128213,False
