agent,label,seed,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,scenario
ac,Almgren-Chriss,1000,3.943102844858575,3.943102844858575,1.0,57.5,20,99.965567,100.005,calm
heuristic,Heuristic,1000,6.400352628107772,7.026048697565771,0.892,60.0,120,99.94099327354262,100.005,calm
pov,POV,1000,6.022198890054624,6.022198890054624,1.0,53.0,103,99.944775,100.005,calm
random,Random,1000,4.742162891854586,4.742162891854586,1.0,46.0,72,99.95757600000002,100.005,calm
twap,TWAP,1000,5.008949552522793,5.008949552522793,1.0,57.5,20,99.954908,100.005,calm
vwap,VWAP,1000,5.097045147742063,5.097045147742063,1.0,57.5,20,99.954027,100.005,calm
ac,Almgren-Chriss,1001,3.374068703435675,3.374068703435675,1.0,57.5,20,99.961261,99.995,calm
heuristic,Heuristic,1001,3.6623068153952776,3.9236961848100265,0.9135,60.0,120,99.95837876299946,99.995,calm
pov,POV,1001,5.307765388270214,5.307765388270214,1.0,60.0,118,99.941925,99.995,calm
random,Random,1001,3.5534108169063736,3.729986499325944,0.9449,60.0,95,99.95946766853636,99.995,calm
twap,TWAP,1001,6.49642482124136,6.49642482124136,1.0,57.5,20,99.930039,99.995,calm
vwap,VWAP,1001,2.7580379018956127,2.7580379018956127,1.0,57.5,20,99.967421,99.995,calm
ac,Almgren-Chriss,1002,5.414529273536792,5.414529273536792,1.0,57.5,20,99.950852,100.005,calm
heuristic,Heuristic,1002,4.183593169112313,4.711664416779403,0.9026,60.0,120,99.9631619765123,100.005,calm
pov,POV,1002,4.049097545123328,4.049097545123328,1.0,60.0,117,99.964507,100.005,calm
random,Random,1002,5.285135743213504,5.285135743213504,1.0,50.5,83,99.952146,100.005,calm
twap,TWAP,1002,2.4196790160488657,2.4196790160488657,1.0,57.5,20,99.980802,100.005,calm
vwap,VWAP,1002,4.523673816309325,4.523673816309325,1.0,57.5,20,99.959761,100.005,calm
ac,Almgren-Chriss,1003,3.4793739686981997,3.4793739686981997,1.0,57.5,20,99.960208,99.995,calm
heuristic,Heuristic,1003,2.590558570832903,2.919245962297277,0.909,60.0,120,99.96909570957096,99.995,calm
pov,POV,1003,5.076153807690203,5.076153807690203,1.0,57.5,113,99.944241,99.995,calm
random,Random,1003,4.026701335066695,4.026701335066695,1.0,56.0,86,99.954735,99.995,calm
twap,TWAP,1003,3.528876443822945,3.528876443822945,1.0,57.5,20,99.959713,99.995,calm
vwap,VWAP,1003,3.635081754086811,3.635081754086811,1.0,57.5,20,99.95865100000002,99.995,calm
ac,Almgren-Chriss,1004,4.015202280342479,4.015202280342479,1.0,57.5,20,99.944854,99.985,calm
heuristic,Heuristic,1004,4.116130069310108,4.539580937140129,0.9012,60.0,120,99.943844873502,99.985,calm
pov,POV,1004,5.995599339900268,5.995599339900268,1.0,59.0,117,99.925053,99.985,calm
random,Random,1004,4.772410402425065,4.921138170726491,0.9507,60.0,90,99.93728305459136,99.985,calm
twap,TWAP,1004,2.977346601989958,2.977346601989958,1.0,57.5,20,99.955231,99.985,calm
vwap,VWAP,1004,0.5109766464962847,0.5109766464962847,1.0,57.5,20,99.979891,99.985,calm
ac,Almgren-Chriss,1005,2.9519475973805998,2.9519475973805998,1.0,57.5,20,99.965482,99.995,calm
heuristic,Heuristic,1005,2.905514701073048,3.066453322666544,0.9014,60.0,120,99.96594630574664,99.995,calm
