scenario,agent,label,n,mean,ci_lo,ci_hi,median,std,p5,p95,worst,fill_frac,filled_only_mean,children
calm,ac,Almgren-Chriss,100,3.7695255743354807,3.528025788580028,3.9980714390658565,3.831099554578082,1.2758821829296327,1.5994599729984873,5.827477893568598,7.517424128793185,1.0,3.7695255743354807,20.0
calm,heuristic,Heuristic,100,3.885611780038874,3.6976156642347355,4.079683551183193,3.8653932696636693,0.996865265752475,2.3296644496673102,5.558524768147179,7.026048697565771,0.905345,3.533263496619773,120.0
calm,pov,POV,100,4.084015779599304,3.8559682239359936,4.300850034058687,4.250081299054635,1.1691447061809623,1.9285725575722508,5.996929317407986,6.533726686334572,1.0,4.084015779599304,111.11
calm,random,Random,100,4.414517139917253,4.177545068607386,4.65601647625313,4.391929862452903,1.2320828390464382,2.622216561760611,6.5827608557080906,7.753712314384388,0.9800660000000001,4.34035240850216,88.63
calm,twap,TWAP,100,3.7596323574322645,3.544731768616708,3.9771551409805124,3.661233061652787,1.126136408714809,2.0299564978255713,5.401149869745676,6.902945147256801,1.0,3.7596323574322645,20.0
calm,vwap,VWAP,100,3.7605087756389035,3.494666910059755,4.003118941142764,3.8954995147383773,1.3134476410099725,1.3313015650775413,5.611355021677193,7.3924303784807,1.0,3.7605087756389035,20.0
thin,ac,Almgren-Chriss,100,34.12631168026729,31.582093555049454,36.84703974854453,33.81897912155421,13.522581736893276,11.47561884268211,59.2569105802499,68.6312684365787,1.0,34.12631168026729,20.0
thin,heuristic,Heuristic,100,18.054597664038937,17.268585539757837,18.841436910060697,18.366907003026817,3.960836564630771,12.260760324732827,24.11911522946591,29.71665719933633,0.9055665,16.243677790981042,120.0
thin,pov,POV,100,33.23877742915414,31.366058334385777,35.26062924078779,30.469195127557896,9.998056282766292,20.353374897584832,52.57908233825692,66.79311589976045,0.8272950000000001,24.03794519942906,115.02
thin,random,Random,100,21.701571835992397,20.99590816541848,22.43531613181157,21.4813866228897,3.8425418826425295,16.366003601243474,27.729802928560996,33.837258137092526,0.944628,20.53128873819102,94.0
thin,twap,TWAP,100,17.129658269595428,15.991261116118588,18.238842583038302,16.532173391330794,5.703142382701539,8.78954809509452,26.34031197669832,36.43447827608559,1.0,17.129658269595428,20.0
thin,vwap,VWAP,100,16.661858956933454,15.497747240915746,17.901247252993734,16.490362717685855,6.0931265493185895,6.989744821884004,28.021526399383493,32.06614669266553,0.99992,16.659087725987767,20.0
volatile,ac,Almgren-Chriss,100,5.505794799750198,4.738786985598739,6.250548916071229,5.520576153732868,3.779578547386046,-0.9284499387978835,11.879954003200545,14.88716692496128,1.0,5.505794799750198,20.0
